Область,Год,Население
Республика Казахстан ,2000,14901641
Абай,2000,
Акмолинская,2000,799179
Актюбинская,2000,677715
Алматинская,2000,1557141
Атырауская,2000,441692
ЗападноКазахстанская,2000,609161
Жамбылская,2000,986144
Жетісу,2000,
Карагандинская,2000,1390454
Костанайская,2000,988787
Кызылординская,2000,598526
Мангистауская,2000,315203
Павлодарская,2000,790774
СевероКазахстанская,2000,713628
Туркестанская 1,2000,2005023
Ұлытау,2000,
ВосточноКазахстанская,2000,1516785
г. Астана,2000,380990
г. Алматы,2000,1130439
г. Шымкент,2000,
Республика Казахстан ,2001,14865610
Абай,2001,
Акмолинская,2001,776377
Актюбинская,2001,670231
Алматинская,2001,1554320
Атырауская,2001,443630
ЗападноКазахстанская,2001,601648
Жамбылская,2001,981928
Жетісу,2001,
Карагандинская,2001,1364781
Костанайская,2001,959274
Кызылординская,2001,599738
Мангистауская,2001,319191
Павлодарская,2001,772453
СевероКазахстанская,2001,702623
Туркестанская 1,2001,2051351
Ұлытау,2001,
ВосточноКазахстанская,2001,1499097
г. Астана,2001,440209
г. Алматы,2001,1128759
г. Шымкент,2001,
Республика Казахстан ,2002,14851059
Абай,2002,
Акмолинская,2002,755000
Актюбинская,2002,668166
Алматинская,2002,1554573
Атырауская,2002,447634
ЗападноКазахстанская,2002,600330
Жамбылская,2002,979199
Жетісу,2002,
Карагандинская,2002,1344244
Костанайская,2002,935717
Кызылординская,2002,600972
Мангистауская,2002,328265
Павлодарская,2002,758154
СевероКазахстанская,2002,691263
Туркестанская 1,2002,2079506
Ұлытау,2002,
ВосточноКазахстанская,2002,1482550
г. Астана,2002,493062
г. Алматы,2002,1132424
г. Шымкент,2002,
Республика Казахстан ,2003,14866837
Абай,2003,
Акмолинская,2003,748167
Актюбинская,2003,668378
Алматинская,2003,1560267
Атырауская,2003,451928
ЗападноКазахстанская,2003,602133
Жамбылская,2003,980072
Жетісу,2003,
Карагандинская,2003,1333656
Костанайская,2003,919558
Кызылординская,2003,603804
Мангистауская,2003,338612
Павлодарская,2003,748651
СевероКазахстанская,2003,682148
Туркестанская 1,2003,2111893
Ұлытау,2003,
ВосточноКазахстанская,2003,1465931
г. Астана,2003,501998
г. Алматы,2003,1149641
г. Шымкент,2003,
Республика Казахстан ,2004,14951200
Абай,2004,
Акмолинская,2004,748930
Актюбинская,2004,671812
Алматинская,2004,1571194
Атырауская,2004,457215
ЗападноКазахстанская,2004,603832
Жамбылская,2004,985552
Жетісу,2004,
Карагандинская,2004,1330927
Костанайская,2004,913435
Кызылординская,2004,607491
Мангистауская,2004,349668
Павлодарская,2004,745238
СевероКазахстанская,2004,674497
Туркестанская 1,2004,2150256
Ұлытау,2004,
ВосточноКазахстанская,2004,1455412
г. Астана,2004,510533
г. Алматы,2004,1175208
г. Шымкент,2004,
