,Область,Год,Население
0,Республика Казахстан ,2000,14901641.0
16,г. Алматы,2000,1130439.0
15,г. Астана,2000,380990.0
14,Восточно-Казахстанская,2000,1516785.0
13,Туркестанская 1,2000,2005023.0
11,Павлодарская,2000,790774.0
10,Мангистауская,2000,315203.0
9,Кызылординская,2000,598526.0
12,Северо-Казахстанская,2000,713628.0
7,Карагандинская,2000,1390454.0
6,Жамбылская,2000,986144.0
5,Западно-Казахстанская,2000,609161.0
4,Атырауская,2000,441692.0
3,Алматинская,2000,1557141.0
2,Актюбинская,2000,677715.0
1,Акмолинская,2000,799179.0
8,Костанайская,2000,988787.0
26,Кызылординская,2001,599738.0
33,г. Алматы,2001,1128759.0
32,г. Астана,2001,440209.0
31,Восточно-Казахстанская,2001,1499097.0
30,Туркестанская 1,2001,2051351.0
28,Павлодарская,2001,772453.0
27,Мангистауская,2001,319191.0
25,Костанайская,2001,959274.0
29,Северо-Казахстанская,2001,702623.0
23,Жамбылская,2001,981928.0
22,Западно-Казахстанская,2001,601648.0
21,Атырауская,2001,443630.0
20,Алматинская,2001,1554320.0
19,Актюбинская,2001,670231.0
18,Акмолинская,2001,776377.0
17,Республика Казахстан ,2001,14865610.0
24,Карагандинская,2001,1364781.0
50,г. Алматы,2002,1132424.0
49,г. Астана,2002,493062.0
48,Восточно-Казахстанская,2002,1482550.0
47,Туркестанская 1,2002,2079506.0
46,Северо-Казахстанская,2002,691263.0
45,Павлодарская,2002,758154.0
44,Мангистауская,2002,328265.0
43,Кызылординская,2002,600972.0
42,Костанайская,2002,935717.0
40,Жамбылская,2002,979199.0
39,Западно-Казахстанская,2002,600330.0
38,Атырауская,2002,447634.0
37,Алматинская,2002,1554573.0
36,Актюбинская,2002,668166.0
35,Акмолинская,2002,755000.0
34,Республика Казахстан ,2002,14851059.0
41,Карагандинская,2002,1344244.0
61,Мангистауская,2003,338612.0
67,г. Алматы,2003,1149641.0
66,г. Астана,2003,501998.0
65,Восточно-Казахстанская,2003,1465931.0
64,Туркестанская 1,2003,2111893.0
63,Северо-Казахстанская,2003,682148.0
62,Павлодарская,2003,748651.0
60,Кызылординская,2003,603804.0
54,Алматинская,2003,1560267.0
58,Карагандинская,2003,1333656.0
57,Жамбылская,2003,980072.0
56,Западно-Казахстанская,2003,602133.0
55,Атырауская,2003,451928.0
59,Костанайская,2003,919558.0
53,Актюбинская,2003,668378.0
52,Акмолинская,2003,748167.0
51,Республика Казахстан ,2003,14866837.0
83,г. Астана,2004,510533.0
82,Восточно-Казахстанская,2004,1455412.0
81,Туркестанская 1,2004,2150256.0
80,Северо-Казахстанская,2004,674497.0
79,Павлодарская,2004,745238.0
78,Мангистауская,2004,349668.0
77,Кызылординская,2004,607491.0
76,Костанайская,2004,913435.0
84,г. Алматы,2004,1175208.0
74,Жамбылская,2004,985552.0
73,Западно-Казахстанская,2004,603832.0
72,Атырауская,2004,457215.0
71,Алматинская,2004,1571194.0
70,Актюбинская,2004,671812.0
69,Акмолинская,2004,748930.0
68,Республика Казахстан ,2004,14951200.0
75,Карагандинская,2004,1330927.0
101,г. Алматы,2005,1209485.0
100,г. Астана,2005,529335.0
99,Восточно-Казахстанская,2005,1442097.0
98,Туркестанская 1,2005,2193556.0
97,Северо-Казахстанская,2005,665936.0
96,Павлодарская,2005,743826.0
95,Мангистауская,2005,361754.0
94,Кызылординская,2005,612048.0
93,Костанайская,2005,907396.0
91,Жамбылская,2005,992089.0
90,Западно-Казахстанская,2005,606534.0
89,Атырауская,2005,463466.0
88,Алматинская,2005,1589751.0
87,Актюбинская,2005,678607.0
86,Акмолинская,2005,747185.0
85,Республика Казахстан ,2005,15074767.0
92,Карагандинская,2005,1331702.0
112,Мангистауская,2006,374430.0
118,г. Алматы,2006,1247896.0
117,г. Астана,2006,550438.0
116,Восточно-Казахстанская,2006,1431180.0
115,Туркестанская 1,2006,2233568.0
114,Северо-Казахстанская,2006,663126.0
113,Павлодарская,2006,742911.0
111,Кызылординская,2006,618249.0
105,Алматинская,2006,1603758.0
