Область,Год,Население
Республика Казахстан ,2000,14901641.0
Акмолинская,2000,799179.0
Актюбинская,2000,677715.0
Алматинская,2000,1557141.0
Атырауская,2000,441692.0
Западно-Казахстанская,2000,609161.0
Жамбылская,2000,986144.0
Карагандинская,2000,1390454.0
Костанайская,2000,988787.0
Кызылординская,2000,598526.0
Мангистауская,2000,315203.0
Павлодарская,2000,790774.0
Северо-Казахстанская,2000,713628.0
Туркестанская 1,2000,2005023.0
Восточно-Казахстанская,2000,1516785.0
г. Астана,2000,380990.0
г. Алматы,2000,1130439.0
Республика Казахстан ,2001,14865610.0
Акмолинская,2001,776377.0
Актюбинская,2001,670231.0
Алматинская,2001,1554320.0
Атырауская,2001,443630.0
Западно-Казахстанская,2001,601648.0
Жамбылская,2001,981928.0
Карагандинская,2001,1364781.0
Костанайская,2001,959274.0
Кызылординская,2001,599738.0
Мангистауская,2001,319191.0
Павлодарская,2001,772453.0
Северо-Казахстанская,2001,702623.0
Туркестанская 1,2001,2051351.0
Восточно-Казахстанская,2001,1499097.0
г. Астана,2001,440209.0
г. Алматы,2001,1128759.0
Республика Казахстан ,2002,14851059.0
Акмолинская,2002,755000.0
Актюбинская,2002,668166.0
Алматинская,2002,1554573.0
Атырауская,2002,447634.0
Западно-Казахстанская,2002,600330.0
Жамбылская,2002,979199.0
Карагандинская,2002,1344244.0
Костанайская,2002,935717.0
Кызылординская,2002,600972.0
Мангистауская,2002,328265.0
Павлодарская,2002,758154.0
Северо-Казахстанская,2002,691263.0
Туркестанская 1,2002,2079506.0
Восточно-Казахстанская,2002,1482550.0
г. Астана,2002,493062.0
г. Алматы,2002,1132424.0
Республика Казахстан ,2003,14866837.0
Акмолинская,2003,748167.0
Актюбинская,2003,668378.0
Алматинская,2003,1560267.0
Атырауская,2003,451928.0
Западно-Казахстанская,2003,602133.0
Жамбылская,2003,980072.0
Карагандинская,2003,1333656.0
Костанайская,2003,919558.0
Кызылординская,2003,603804.0
Мангистауская,2003,338612.0
Павлодарская,2003,748651.0
Северо-Казахстанская,2003,682148.0
Туркестанская 1,2003,2111893.0
Восточно-Казахстанская,2003,1465931.0
г. Астана,2003,501998.0
г. Алматы,2003,1149641.0
Республика Казахстан ,2004,14951200.0
Акмолинская,2004,748930.0
Актюбинская,2004,671812.0
Алматинская,2004,1571194.0
Атырауская,2004,457215.0
Западно-Казахстанская,2004,603832.0
Жамбылская,2004,985552.0
Карагандинская,2004,1330927.0
Костанайская,2004,913435.0
Кызылординская,2004,607491.0
Мангистауская,2004,349668.0
Павлодарская,2004,745238.0
Северо-Казахстанская,2004,674497.0
Туркестанская 1,2004,2150256.0
Восточно-Казахстанская,2004,1455412.0
г. Астана,2004,510533.0
г. Алматы,2004,1175208.0
Республика Казахстан ,2005,15074767.0
Акмолинская,2005,747185.0
Актюбинская,2005,678607.0
Алматинская,2005,1589751.0
Атырауская,2005,463466.0
Западно-Казахстанская,2005,606534.0
Жамбылская,2005,992089.0
Карагандинская,2005,1331702.0
Костанайская,2005,907396.0
Кызылординская,2005,612048.0
Мангистауская,2005,361754.0
Павлодарская,2005,743826.0
Северо-Казахстанская,2005,665936.0
Туркестанская 1,2005,2193556.0
Восточно-Казахстанская,2005,1442097.0
г. Астана,2005,529335.0
г. Алматы,2005,1209485.0
Республика Казахстан ,2006,15219291.0
Акмолинская,2006,746652.0
Актюбинская,2006,686698.0
Алматинская,2006,1603758.0
Атырауская,2006,472384.0
Западно-Казахстанская,2006,609291.0
Жамбылская,2006,1001094.0
Карагандинская,2006,1334438.0
Костанайская,2006,903178.0
Кызылординская,2006,618249.0
Мангистауская,2006,374430.0
Павлодарская,2006,742911.0
Северо-Казахстанская,2006,663126.0
Туркестанская 1,2006,2233568.0
Восточно-Казахстанская,2006,1431180.0
г. Астана,2006,550438.0
г. Алматы,2006,1247896.0
Республика Казахстан ,2007,15396878.0
Акмолинская,2007,748559.0
Актюбинская,2007,695454.0
Алматинская,2007,1620696.0
Атырауская,2007,480687.0
Западно-Казахстанская,2007,612479.0
Жамбылская,2007,1009210.0
Карагандинская,2007,1339368.0
Костанайская,2007,900333.0
Кызылординская,2007,625070.0
Мангистауская,2007,390531.0
Павлодарская,2007,744860.0
Северо-Казахстанская,2007,660950.0
Туркестанская 1,2007,2282474.0
Восточно-Казахстанская,2007,1424513.0
г. Астана,2007,574448.0
г. Алматы,2007,1287246.0
Республика Казахстан ,2008,15571506.0
Акмолинская,2008,747447.0
Актюбинская,2008,703660.0
Алматинская,2008,1643278.0
Атырауская,2008,490369.0
Западно-Казахстанская,2008,615310.0
Жамбылская,2008,1018845.0
Карагандинская,2008,1342081.0
