,Область,Год,Население,Unnamed: 0,index,ranks
9,Акмолинская,2000,778657,,16.299999999999997,1
8,Акмолинская,2000,780937,,14.6,2
7,Акмолинская,2000,783217,,12.9,3
6,Акмолинская,2000,785497,,11.2,4
5,Акмолинская,2000,787778,,9.5,5
4,Акмолинская,2000,790058,,7.8,6
3,Акмолинская,2000,792338,,6.1,7
2,Акмолинская,2000,794618,,4.4,8
1,Акмолинская,2000,796898,,2.7,9
0,Акмолинская,2000,799179,,1.0,10
9,Актюбинская,2000,670979,,17.299999999999997,1
8,Актюбинская,2000,671727,,15.6,2
7,Актюбинская,2000,672476,,13.9,3
6,Актюбинская,2000,673224,,12.2,4
5,Актюбинская,2000,673973,,10.5,5
4,Актюбинская,2000,674721,,8.8,6
3,Актюбинская,2000,675469,,7.1,7
2,Актюбинская,2000,676218,,5.4,8
1,Актюбинская,2000,676966,,3.7,9
0,Актюбинская,2000,677715,,2.0,10
9,Алматинская,2000,1554602,,18.299999999999997,1
8,Алматинская,2000,1554884,,16.6,2
7,Алматинская,2000,1555166,,14.9,3
6,Алматинская,2000,1555448,,13.2,4
5,Алматинская,2000,1555730,,11.5,5
4,Алматинская,2000,1556012,,9.8,6
3,Алматинская,2000,1556294,,8.1,7
2,Алматинская,2000,1556576,,6.4,8
1,Алматинская,2000,1556858,,4.7,9
0,Алматинская,2000,1557141,,3.0,10
9,Алматы,2000,1128927,,31.299999999999997,1
8,Алматы,2000,1129095,,29.6,2
7,Алматы,2000,1129263,,27.9,3
6,Алматы,2000,1129431,,26.2,4
5,Алматы,2000,1129599,,24.5,5
4,Алматы,2000,1129767,,22.8,6
3,Алматы,2000,1129935,,21.1,7
2,Алматы,2000,1130103,,19.4,8
1,Алматы,2000,1130271,,17.7,9
0,Алматы,2000,1130439,,16.0,10
0,Астана,2000,380990,,15.0,1
1,Астана,2000,386911,,16.7,2
2,Астана,2000,392833,,18.4,3
3,Астана,2000,398755,,20.1,4
4,Астана,2000,404677,,21.8,5
5,Астана,2000,410599,,23.5,6
6,Астана,2000,416521,,25.2,7
7,Астана,2000,422443,,26.9,8
8,Астана,2000,428365,,28.6,9
9,Астана,2000,434287,,30.299999999999997,10
0,Атырауская,2000,441692,,4.0,1
1,Атырауская,2000,441885,,5.7,2
2,Атырауская,2000,442079,,7.4,3
3,Атырауская,2000,442273,,9.1,4
4,Атырауская,2000,442467,,10.8,5
5,Атырауская,2000,442661,,12.5,6
6,Атырауская,2000,442854,,14.2,7
7,Атырауская,2000,443048,,15.9,8
8,Атырауская,2000,443242,,17.6,9
9,Атырауская,2000,443436,,19.299999999999997,10
9,ВКО,2000,1500865,,29.299999999999997,1
8,ВКО,2000,1502634,,27.6,2
7,ВКО,2000,1504403,,25.9,3
6,ВКО,2000,1506172,,24.2,4
5,ВКО,2000,1507941,,22.5,5
4,ВКО,2000,1509709,,20.8,6
3,ВКО,2000,1511478,,19.1,7
2,ВКО,2000,1513247,,17.4,8
1,ВКО,2000,1515016,,15.7,9
0,ВКО,2000,1516785,,14.0,10
9,Жамбылская,2000,982349,,21.299999999999997,1
8,Жамбылская,2000,982771,,19.6,2
7,Жамбылская,2000,983192,,17.9,3
6,Жамбылская,2000,983614,,16.2,4
5,Жамбылская,2000,984036,,14.5,5
4,Жамбылская,2000,984457,,12.8,6
3,Жамбылская,2000,984879,,11.1,7
2,Жамбылская,2000,985300,,9.4,8
1,Жамбылская,2000,985722,,7.7,9
0,Жамбылская,2000,986144,,6.0,10
9,ЗКО,2000,602399,,20.299999999999997,1
8,ЗКО,2000,603150,,18.6,2
7,ЗКО,2000,603901,,16.9,3
6,ЗКО,2000,604653,,15.2,4
5,ЗКО,2000,605404,,13.5,5
4,ЗКО,2000,606155,,11.8,6
3,ЗКО,2000,606907,,10.1,7
2,ЗКО,2000,607658,,8.4,8
1,ЗКО,2000,608409,,6.7,9
0,ЗКО,2000,609161,,5.0,10
9,Карагандинская,2000,1367348,,22.299999999999997,1
8,Карагандинская,2000,1369915,,20.6,2
7,Карагандинская,2000,1372482,,18.9,3
6,Карагандинская,2000,1375050,,17.2,4
5,Карагандинская,2000,1377617,,15.5,5
4,Карагандинская,2000,1380184,,13.8,6
3,Карагандинская,2000,1382752,,12.1,7
2,Карагандинская,2000,1385319,,10.4,8
1,Карагандинская,2000,1387886,,8.7,9
0,Карагандинская,2000,1390454,,7.0,10
9,Костанайская,2000,962225,,23.299999999999997,1
8,Костанайская,2000,965176,,21.6,2
7,Костанайская,2000,968127,,19.9,3
6,Костанайская,2000,971079,,18.2,4
5,Костанайская,2000,974030,,16.5,5
4,Костанайская,2000,976981,,14.8,6
3,Костанайская,2000,979933,,13.1,7
2,Костанайская,2000,982884,,11.4,8
1,Костанайская,2000,985835,,9.7,9
0,Костанайская,2000,988787,,8.0,10
0,Кызылординская,2000,598526,,9.0,1
1,Кызылординская,2000,598647,,10.7,2
2,Кызылординская,2000,598768,,12.4,3
3,Кызылординская,2000,598889,,14.1,4
4,Кызылординская,2000,599010,,15.8,5
5,Кызылординская,2000,599132,,17.5,6
6,Кызылординская,2000,599253,,19.2,7
7,Кызылординская,2000,599374,,20.9,8
8,Кызылординская,2000,599495,,22.6,9
9,Кызылординская,2000,599616,,24.299999999999997,10
0,Мангистауская,2000,315203,,10.0,1
1,Мангистауская,2000,315601,,11.7,2
2,Мангистауская,2000,316000,,13.4,3
3,Мангистауская,2000,316399,,15.1,4
4,Мангистауская,2000,316798,,16.8,5
5,Мангистауская,2000,317197,,18.5,6
6,Мангистауская,2000,317595,,20.2,7
7,Мангистауская,2000,317994,,21.9,8
8,Мангистауская,2000,318393,,23.6,9
